,product ID,model,amount,note, retail price, action price, reseller price,ebike
,524900120744,"SONIC EVO 1 29"" 750 Wh | dark petrol",1,Syrovátka,"  118,799 Kč ",,"  67,711 Kč ",yes
,524908730555,Grinder EVO 500 Wh,1,Syrovátka,"  107,999 Kč ","  57,000 Kč ","  61,555 Kč ",yes
,657-16648,Coppehead EVO 3 Wave 750 Wh,1,Syrovátka,"  111,799 Kč ","  59,000 Kč ","  63,721 Kč ",yes
,666-06944,SONIC EVO EN1 Enduro 625 Wh,1,Syrovátka,"  153,899 Kč ","  79,000 Kč ","  87,717 Kč ",yes
,667-05551,SONIC EVO AM2 Carbon 750 Wh,2,"1xKristian,1xJirka","  134,999 Kč ","  65,000 Kč ","  76,944 Kč ",yes
,685-12144,"E-Stream EVO 2, 27,5"" 555 Wh",1,Syrovátka,"  116,999 Kč ","  55,000 Kč ","  66,685 Kč ",yes
,685-12148,"E-Stream EVO 2, 27,5"" 555 Wh",1, Kolomat bez AKKU,"  116,999 Kč ","  55,000 Kč ","  66,685 Kč ",yes
,689-16548,E-Stream EVO AM 4 925 Wh | Black/Silver,2,1xSyrovátka ,"  166,399 Kč ","  75,000 Kč ","  94,841 Kč ",yes
,767-22951,SONIC EVO AMSL1 Carbon 750 Wh,2,"1xCellu,1x Syr.","  142,799 Kč ","  79,000 Kč ","  81,390 Kč ",yes
,667-08248,SONIC EVO AMSL1 Carbon 750 Wh,1,,"  142,799 Kč ","  79,000 Kč ","  81,390 Kč ",yes
,835-54237,"Aminga EVA 2, 27,5"" Wave | Grey/Turq 500 Wh",1,Alpin,"  97,499 Kč ","  49,000 Kč ","  55,571 Kč ",yes
,835-54244,"Aminga EVA 2, 27,5"" Wave | Grey/Turquoise",1,,"  97,499 Kč ","  49,000 Kč ","  55,571 Kč ",yes
,836-54341,"Aminga EVA 2, 27,5"" Wave | Berry",1,Syrovátka,"  102,499 Kč ","  52,000 Kč ","  58,421 Kč ",yes
,837-52944,Copperhead EVO 2 Wave 750 Wh,1,,"  111,799 Kč ","  58,000 Kč ","  63,721 Kč ",yes
,837-61754,Copperhead EVO AM2 750 Wh,2,,"  135,199 Kč ","  68,000 Kč ","  77,058 Kč ",yes
,837-67054,"Copperhead EVO 2, 29"" 750 Wh",2,,"  107,499 Kč ","  58,000 Kč ","  61,270 Kč ",yes
,837-67060,"Copperhead EVO 2, 29"" 750 Wh",1,Syrovátka,"  107,499 Kč ","  58,000 Kč ","  61,270 Kč ",yes
,847-02544,SONIC EVO TR1 750 Wh | Blue,1,,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-02551,SONIC EVO TR1 750 Wh | Blue,3,"1xHK ,1xSyrovátka","  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-04548,SONIC EVO TR - I 750 Wh,1,Syrovátka,"  194,399 Kč ","  106,000 Kč ","  110,800 Kč ",yes
,846-04941,SONIC EVO AM1 625 Wh | White,2,na cestě do skladu,"  129,599 Kč ","  56,000 Kč ","  73,867 Kč ",yes
,847-04951,SONIC EVO AM1 750 Wh | White,3,,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-05044,SONIC EVO AM1 750 Wh | Green Em.,2,na cestě do skladu,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-05047,SONIC EVO AM1 750 Wh | Green Em.,2,na cestě do skladu,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-05144,SONIC EVO AM 1 750 Wh | dark petrol,3,2xna cestě do skladu,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-05147,SONIC EVO AM 1 750 Wh | dark petrol,3,,"  134,999 Kč ","  56,000 Kč ","  76,944 Kč ",yes
,847-05744,SONIC EVO AM2 Carbon 750 Wh Blue,1,,"  145,799 Kč ","  72,000 Kč ","  83,100 Kč ",yes
,847-05847,SONIC EVO AM2 Carbon 750 Wh Orange,1,1xHK ,"  145,799 Kč ","  72,000 Kč ","  83,100 Kč ",yes
,847-05851,SONIC EVO AM2 Carbon 750 Wh Orange,1,,"  145,799 Kč ","  72,000 Kč ","  83,100 Kč ",yes
,847-06147,SONIC EVO AM3 750 Wh | Black,6,1xSyrovátka ,"  161,999 Kč ","  89,000 Kč ","  92,333 Kč ",yes
,847-06151,SONIC EVO AM3 750 Wh | Black,3,,"  161,999 Kč ","  89,000 Kč ","  92,333 Kč ",yes
,847-06544,SONIC EVO AM4 750 Wh | Grey,1,Petra test,"  180,899 Kč ","  91,000 Kč ","  103,106 Kč ",yes
,847-06547,SONIC EVO AM4 750 Wh | Grey,1,Eva test,"  180,899 Kč ","  91,000 Kč ","  103,106 Kč ",yes
,504-48354,Wildcross,1,,"  18,199 Kč ","  8,000 Kč ","  10,027 Kč ",no
,631-11251,Sharptail 1,1,,"  19,499 Kč ","  8,500 Kč ","  10,743 Kč ",no
,631-16043,Duro,1,,"  49,399 Kč ","  22,000 Kč ","  27,217 Kč ",no
,631-21551,Aminga 1 | Black/Pink,2,,"  25,499 Kč ","  11,000 Kč ","  14,049 Kč ",no
,631-22551,Aminga 2,1,,"  28,099 Kč ","  12,000 Kč ","  15,482 Kč ",no
,631-23551,Aminga 3,1,,"  36,399 Kč ","  13,000 Kč ","  20,055 Kč ",no
,631-47554,Wild Edge Trail,1,,"  109,199 Kč ","  59,000 Kč ","  60,165 Kč ",no
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
, , , ,,,,,
, ,, ,,,,,
